projectIdentifier,subappType,subapplicationType
DR-0973-0026-R,Regular Project,Warning Systems
DR-1240-0015-R,Regular Project,Elevations
DR-0837-0001-R,Regular Project,Warning Systems
DR-0973-0049-F,HMGP 5% Initiative,Elevations
DR-1171-M002-M,Management Costs,Management Costs and Technical Assistance
DR-0975-0001-R,Regular Project,Floodproofing
DR-0866-0014-R,Regular Project,Flood Control
DR-0906-0001-R,Regular Project,Other Equipment
DR-0955-0084-R,Regular Project,Wind Retrofit
DR-0955-0167-R,Regular Project,Wind Retrofit
DR-0924-0001-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0204-R,Regular Project,Wind Retrofit
DR-0955-0160-R,Regular Project,Wind Retrofit
DR-0887-0001-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-0955-0194-R,Regular Project,Wind Retrofit
DR-1001-0017-R,Regular Project,Acquisitions
DR-0993-0030-R,Regular Project,Flood Control
DR-0955-0109-R,Regular Project,Wind Retrofit
DR-0955-0187-R,Regular Project,Wind Retrofit
DR-1001-0021-R,Regular Project,Acquisitions
DR-0993-0024-R,Regular Project,Acquisitions
DR-0993-0023-R,Regular Project,Acquisitions
DR-1102-0009-R,Regular Project,Acquisitions
DR-0982-0008-R,Regular Project,Flood Control
DR-0955-0249-R,Regular Project,Wind Retrofit
DR-0955-0091-R,Regular Project,Utility and Infrastructure Protection
DR-1020-0001-R,Regular Project,Acquisitions
DR-0955-0130-R,Regular Project,Wind Retrofit
DR-0955-0244-R,Regular Project,Wind Retrofit
DR-0957-0001-R,Regular Project,Utility and Infrastructure Protection
DR-1102-0012-R,Regular Project,Flood Control
DR-0857-0007-R,Regular Project,Relocations
DR-0955-0126-R,Regular Project,Wind Retrofit
DR-0955-0510-R,Regular Project,Wind Retrofit
DR-0955-0507-R,Regular Project,Wind Retrofit
DR-1000-0008-R,Regular Project,Acquisitions
DR-0955-0182-R,Regular Project,Wind Retrofit
DR-0955-0189-R,Regular Project,Wind Retrofit
DR-0955-M003-M,Management Costs,Management Costs and Technical Assistance
DR-0955-M002-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0387-R,Regular Project,Flood Control
DR-1069-0012-F,HMGP 5% Initiative,Education and Awareness
DR-1069-M003-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0151-R,Regular Project,Wind Retrofit
DR-0955-0480-R,Regular Project,Wind Retrofit
DR-0955-0511-F,HMGP 5% Initiative,Education and Awareness
DR-0955-0484-R,Regular Project,Wind Retrofit
DR-1128-0010-R,Regular Project,Shoreline Stabilization
DR-0955-0168-R,Regular Project,Wind Retrofit
DR-0955-0212-R,Regular Project,Wind Retrofit
DR-0955-0198-R,Regular Project,Wind Retrofit
DR-0955-0414-R,Regular Project,Flood Control
DR-0955-0403-R,Regular Project,Flood Control
DR-0955-0190-R,Regular Project,Wind Retrofit
DR-1035-M003-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0147-R,Regular Project,Wind Retrofit
DR-0955-0121-R,Regular Project,Wind Retrofit
DR-0845-0037-R,Regular Project,Seismic Retrofit
DR-0955-0214-R,Regular Project,Wind Retrofit
DR-0955-0504-R,Regular Project,Wind Retrofit
DR-1115-0002-R,Regular Project,Acquisitions
DR-0955-0159-R,Regular Project,Wind Retrofit
DR-0955-0369-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0094-R,Regular Project,Flood Control
DR-0955-0401-R,Regular Project,Flood Control
DR-0865-0003-R,Regular Project,Utility and Infrastructure Protection
DR-0865-0008-R,Regular Project,Acquisitions
DR-0955-0200-R,Regular Project,Wind Retrofit
DR-0955-0099-R,Regular Project,Wind Retrofit
DR-0955-0419-R,Regular Project,Flood Control
DR-0973-0052-R,Regular Project,Flood Control
DR-1143-0013-R,Regular Project,Flood Control
DR-0955-0164-R,Regular Project,Wind Retrofit
DR-0955-0139-R,Regular Project,Wind Retrofit
DR-0955-0208-R,Regular Project,Wind Retrofit
DR-0955-0246-R,Regular Project,Wind Retrofit
DR-0955-0150-R,Regular Project,Wind Retrofit
DR-0955-0237-R,Regular Project,Wind Retrofit
DR-0955-0148-R,Regular Project,Wind Retrofit
DR-0955-0152-R,Regular Project,Wind Retrofit
DR-0955-0406-R,Regular Project,Flood Control
DR-0955-0399-R,Regular Project,Flood Control
DR-0955-0468-R,Regular Project,Wind Retrofit
DR-1154-0011-F,HMGP 5% Initiative,Shoreline Stabilization
DR-0955-0363-R,Regular Project,Wind Retrofit
DR-0955-0138-R,Regular Project,Wind Retrofit
DR-0955-0410-R,Regular Project,Flood Control
DR-0955-0408-R,Regular Project,Flood Control
DR-1102-0008-R,Regular Project,Relocations
DR-0982-0010-R,Regular Project,Wind Retrofit
DR-0955-0183-R,Regular Project,Wind Retrofit
DR-0955-M005-M,Management Costs,Management Costs and Technical Assistance
DR-1035-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1154-0010-R,Regular Project,Utility and Infrastructure Protection
DR-0846-0001-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0413-R,Regular Project,Flood Control
DR-1144-0013-F,HMGP 5% Initiative,Warning Systems
DR-0955-0221-R,Regular Project,Wind Retrofit
DR-1102-0010-R,Regular Project,Flood Control
DR-1034-0003-R,Regular Project,Other Equipment
DR-1069-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1069-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1069-0081-R,Regular Project,Wind Retrofit
DR-0955-0330-R,Regular Project,Wind Retrofit
DR-1069-0050-F,HMGP 5% Initiative,Mitigation Planning
DR-0955-0377-R,Regular Project,Wind Retrofit
DR-0955-0215-R,Regular Project,Wind Retrofit
DR-1033-0148-R,Regular Project,Acquisitions
DR-1033-0163-F,HMGP 5% Initiative,Warning Systems
DR-1159-0012-R,Regular Project,Flood Control
DR-1102-0028-R,Regular Project,Acquisitions
DR-0856-0003-R,Regular Project,Flood Control
DR-0955-0102-R,Regular Project,Wind Retrofit
DR-0955-0283-R,Regular Project,Wind Retrofit
DR-0955-0421-R,Regular Project,Wind Retrofit
DR-0955-0388-R,Regular Project,Flood Control
DR-1143-0014-R,Regular Project,Other Equipment
DR-0955-0370-R,Regular Project,Wind Retrofit
DR-0955-M004-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0402-R,Regular Project,Flood Control
DR-1102-0007-R,Regular Project,Acquisitions
DR-0982-0018-F,HMGP 5% Initiative,Other
DR-0955-0332-R,Regular Project,Wind Retrofit
DR-0982-0006-R,Regular Project,Wind Retrofit
DR-0955-0356-R,Regular Project,Education and Awareness
DR-1033-0089-F,HMGP 5% Initiative,Other Equipment
DR-1160-0004-R,Regular Project,Acquisitions
DR-0955-0178-R,Regular Project,Wind Retrofit
DR-0955-0134-R,Regular Project,Wind Retrofit
DR-0955-0188-R,Regular Project,Wind Retrofit
DR-0955-0184-R,Regular Project,Wind Retrofit
DR-0955-0127-R,Regular Project,Wind Retrofit
DR-0955-0213-R,Regular Project,Wind Retrofit
DR-0845-0036-R,Regular Project,Seismic Retrofit
DR-0845-0101-R,Regular Project,Seismic Retrofit
DR-0955-0327-R,Regular Project,Shoreline Stabilization
DR-0996-0062-R,Regular Project,Flood Control
DR-0955-0120-R,Regular Project,Wind Retrofit
DR-0930-0012-R,Regular Project,Utility and Infrastructure Protection
DR-1174-0025-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0496-R,Regular Project,Wind Retrofit
DR-0955-0181-R,Regular Project,Wind Retrofit
DR-0955-0141-R,Regular Project,Wind Retrofit
DR-1069-0055-F,HMGP 5% Initiative,Mitigation Planning
DR-0996-0001-R,Regular Project,Acquisitions
DR-0955-0001-R,Regular Project,Other Equipment
DR-1035-M001-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0412-R,Regular Project,Flood Control
DR-1033-0063-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0066-F,HMGP 5% Initiative,Other Equipment
DR-0955-0475-R,Regular Project,Wind Retrofit
DR-0955-0407-R,Regular Project,Flood Control
DR-0955-0482-R,Regular Project,Wind Retrofit
DR-0955-0104-R,Regular Project,Wind Retrofit
DR-0955-0389-R,Regular Project,Flood Control
DR-0995-0003-R,Regular Project,Acquisitions
DR-1069-0054-R,Regular Project,Flood Control
DR-1168-0005-R,Regular Project,Acquisitions
DR-0955-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0012-F,HMGP 5% Initiative,Education and Awareness
DR-1120-0012-R,Regular Project,Flood Control
DR-1162-0005-R,Regular Project,Flood Control
DR-0845-0051-R,Regular Project,Seismic Retrofit
DR-0955-0520-R,Regular Project,Codes and Standards
DR-1159-0021-F,HMGP 5% Initiative,Utility and Infrastructure Protection
DR-1069-0062-R,Regular Project,Mitigation Planning
DR-1033-0061-F,HMGP 5% Initiative,Other Equipment
DR-1160-0009-F,HMGP 5% Initiative,Codes and Standards
DR-1176-0004-R,Regular Project,Elevations
DR-1142-0040-R,Regular Project,Flood Control
DR-1143-0004-R,Regular Project,Flood Control
DR-1154-0006-R,Regular Project,Flood Control
DR-0861-0012-R,Regular Project,Acquisitions
DR-1033-0150-R,Regular Project,Flood Control
DR-1033-0116-R,Regular Project,Flood Control
DR-1128-0002-R,Regular Project,Flood Control
DR-1033-0064-R,Regular Project,Utility and Infrastructure Protection
DR-0973-0031-R,Regular Project,Flood Control
DR-1164-0025-R,Regular Project,Acquisitions
DR-1175-0022-R,Regular Project,Wind Retrofit
DR-1069-0056-F,HMGP 5% Initiative,Other
DR-1033-0183-F,HMGP 5% Initiative,Other Equipment
DR-1059-0006-R,Regular Project,Elevations
DR-1160-0005-R,Regular Project,Acquisitions
DR-1041-0004-R,Regular Project,Acquisitions
DR-1093-0024-R,Regular Project,Utility and Infrastructure Protection
DR-1160-0012-F,HMGP 5% Initiative,Codes and Standards
DR-1102-0027-R,Regular Project,Acquisitions
DR-1041-0008-R,Regular Project,Acquisitions
DR-1102-0017-R,Regular Project,Flood Control
DR-1062-0020-F,HMGP 5% Initiative,Education and Awareness
DR-1033-0164-F,HMGP 5% Initiative,Education and Awareness
DR-1163-0009-R,Regular Project,Acquisitions
DR-1128-0006-R,Regular Project,Shoreline Stabilization
DR-1102-0002-R,Regular Project,Acquisitions
DR-1154-0008-F,HMGP 5% Initiative,Other Equipment
DR-1033-0048-F,HMGP 5% Initiative,Other Equipment
DR-0880-0003-R,Regular Project,Utility and Infrastructure Protection
DR-0906-0007-R,Regular Project,Flood Control
DR-0921-0001-R,Regular Project,Flood Control
DR-0982-0015-R,Regular Project,Mitigation Planning
DR-0834-0001-R,Regular Project,Relocations
DR-1069-0049-F,HMGP 5% Initiative,Other Equipment
DR-1069-0025-F,HMGP 5% Initiative,Education and Awareness
DR-0982-0014-R,Regular Project,Wind Retrofit
DR-1128-0008-R,Regular Project,Shoreline Stabilization
DR-1041-0011-R,Regular Project,Acquisitions
DR-1153-0010-R,Regular Project,Acquisitions
DR-1041-0003-R,Regular Project,Acquisitions
DR-1041-0001-R,Regular Project,Acquisitions
DR-1095-1122-R,Regular Project,Landslide Stabilization
DR-0930-0001-R,Regular Project,Acquisitions
DR-0973-0044-R,Regular Project,Other
DR-1148-3032-R,Regular Project,Flood Control
DR-1154-0005-R,Regular Project,Landslide Stabilization
DR-1098-0002-R,Regular Project,Acquisitions
DR-1160-0011-R,Regular Project,Utility and Infrastructure Protection
DR-1041-0009-R,Regular Project,Acquisitions
DR-1120-0002-R,Regular Project,Utility and Infrastructure Protection
DR-1041-MOO2-M,Management Costs,Management Costs and Technical Assistance
DR-1160-0007-F,HMGP 5% Initiative,Codes and Standards
DR-0998-0003-R,Regular Project,Flood Control
DR-1033-0037-F,HMGP 5% Initiative,Warning Systems
DR-0905-0003-R,Regular Project,Warning Systems
DR-1035-M004-M,Management Costs,Management Costs and Technical Assistance
DR-1035-M005-M,Management Costs,Management Costs and Technical Assistance
DR-1069-M004-M,Management Costs,Management Costs and Technical Assistance
DR-0994-0008-R,Regular Project,Acquisitions
DR-1069-0044-F,HMGP 5% Initiative,Education and Awareness
DR-1069-0013-F,HMGP 5% Initiative,Codes and Standards
DR-1074-0012-F,HMGP 5% Initiative,Mitigation Planning
DR-0930-0003-R,Regular Project,Flood Control
DR-1230-0016-R,Regular Project,Acquisitions
DR-1095-1116-R,Regular Project,Utility and Infrastructure Protection
DR-1095-1098-R,Regular Project,Flood Control
DR-0883-M001-M,Management Costs,Management Costs and Technical Assistance
DR-0836-0001-R,Regular Project,Shoreline Stabilization
DR-1095-1145-R,Regular Project,Utility and Infrastructure Protection
DR-1095-1126-R,Regular Project,Other
DR-1041-0002-R,Regular Project,Acquisitions
DR-0996-0041-R,Regular Project,Acquisitions
DR-1095-1099-R,Regular Project,Utility and Infrastructure Protection
DR-1095-1083-R,Regular Project,Landslide Stabilization
DR-0852-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1041-M001-M,Management Costs,Management Costs and Technical Assistance
DR-0922-0001-R,Regular Project,Education and Awareness
DR-0955-0113-R,Regular Project,Wind Retrofit
DR-0955-0132-R,Regular Project,Wind Retrofit
DR-0955-0161-R,Regular Project,Wind Retrofit
DR-0955-0259-R,Regular Project,Wind Retrofit
DR-0955-0423-R,Regular Project,Wind Retrofit
DR-0955-0397-R,Regular Project,Flood Control
DR-0955-0485-R,Regular Project,Other
DR-0955-0400-R,Regular Project,Flood Control
DR-0845-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0200-F,HMGP 5% Initiative,Other Equipment
DR-0955-0518-F,HMGP 5% Initiative,Warning Systems
DR-0930-0004-R,Regular Project,Other
DR-1128-0012-R,Regular Project,Shoreline Stabilization
DR-1099-0040-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0107-F,HMGP 5% Initiative,Warning Systems
DR-1134-0015-R,Regular Project,Acquisitions
DR-1000-0009-R,Regular Project,Acquisitions
DR-0955-0100-R,Regular Project,Wind Retrofit
DR-0955-0177-R,Regular Project,Wind Retrofit
DR-0955-0163-R,Regular Project,Wind Retrofit
DR-0955-0124-R,Regular Project,Wind Retrofit
DR-0955-0476-R,Regular Project,Wind Retrofit
DR-0955-0481-R,Regular Project,Wind Retrofit
DR-0955-0396-R,Regular Project,Flood Control
DR-0955-0409-R,Regular Project,Flood Control
DR-0955-0479-R,Regular Project,Wind Retrofit
DR-0955-0478-R,Regular Project,Wind Retrofit
DR-0955-0398-R,Regular Project,Flood Control
DR-0958-0002-R,Regular Project,Wildfire Mitigation
DR-1044-0010-R,Regular Project,Flood Control
DR-1095-1022-R,Regular Project,Flood Control
DR-1035-0009-F,HMGP 5% Initiative,Management Costs and Technical Assistance
DR-1142-0030-R,Regular Project,Flood Control
DR-0955-0498-R,Regular Project,Wind Retrofit
DR-0955-0261-R,Regular Project,Wind Retrofit
DR-1160-0014-F,HMGP 5% Initiative,Warning Systems
DR-0955-0240-R,Regular Project,Wind Retrofit
DR-0982-0011-R,Regular Project,Wind Retrofit
DR-0955-0143-R,Regular Project,Wind Retrofit
DR-0955-0483-R,Regular Project,Wind Retrofit
DR-0955-0165-R,Regular Project,Wind Retrofit
DR-0955-0149-R,Regular Project,Wind Retrofit
DR-0955-0394-R,Regular Project,Flood Control
DR-0955-0405-R,Regular Project,Flood Control
DR-0955-0391-R,Regular Project,Flood Control
DR-0955-0243-R,Regular Project,Wind Retrofit
DR-0955-0404-R,Regular Project,Flood Control
DR-0955-0477-R,Regular Project,Wind Retrofit
DR-0845-0100-R,Regular Project,Seismic Retrofit
DR-0873-0003-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0508-F,HMGP 5% Initiative,Wind Retrofit
DR-1033-0024-R,Regular Project,Acquisitions
DR-1165-0004-R,Regular Project,Acquisitions
DR-0966-0003-R,Regular Project,Other Equipment
DR-0915-0004-R,Regular Project,Flood Control
DR-0955-0195-R,Regular Project,Wind Retrofit
DR-0996-0002-R,Regular Project,Acquisitions
DR-1160-0017-R,Regular Project,Acquisitions
DR-0955-0375-R,Regular Project,Wind Retrofit
DR-1033-0103-F,HMGP 5% Initiative,Warning Systems
DR-0996-0040-R,Regular Project,Acquisitions
DR-1074-0014-F,HMGP 5% Initiative,Codes and Standards
DR-0955-0519-F,HMGP 5% Initiative,Other
DR-1033-0075-F,HMGP 5% Initiative,Other Equipment
DR-1000-F027-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-0955-0540-R,Regular Project,Education and Awareness
DR-1000-0010-R,Regular Project,Acquisitions
DR-1074-0018-R,Regular Project,Wind Retrofit
DR-1069-M005-M,Management Costs,Management Costs and Technical Assistance
DR-1143-0021-R,Regular Project,Flood Control
DR-0843-0056-F,HMGP 5% Initiative,Wind Retrofit
DR-1095-1112-R,Regular Project,Flood Control
DR-1095-1090-R,Regular Project,Education and Awareness
DR-1033-0167-F,HMGP 5% Initiative,Warning Systems
DR-0844-0003-R,Regular Project,Utility and Infrastructure Protection
DR-1049-0022-R,Regular Project,Flood Control
DR-0821-0001-R,Regular Project,Utility and Infrastructure Protection
DR-0955-0097-R,Regular Project,Wind Retrofit
DR-1163-0001-R,Regular Project,Acquisitions
DR-1163-0012-R,Regular Project,Acquisitions
DR-0915-0011-R,Regular Project,Flood Control
DR-0883-0015-R,Regular Project,Wind Retrofit
DR-1050-0009-R,Regular Project,Acquisitions
DR-1050-0012-R,Regular Project,Utility and Infrastructure Protection
DR-0993-0005-R,Regular Project,Acquisitions
DR-1143-0015-R,Regular Project,Codes and Standards
DR-0844-0011-R,Regular Project,Acquisitions
DR-1062-0019-R,Regular Project,Acquisitions
DR-1079-0017-F,HMGP 5% Initiative,Codes and Standards
DR-1033-0165-F,HMGP 5% Initiative,Warning Systems
DR-1134-0058-R,Regular Project,"Feasibility, Engineering, and Design Studies"
